Brand,Region,Month,Forecasted_TRx
ALPHATUMAB,West,25,14725.908185625321
ALPHATUMAB,West,26,14689.26335429211
ALPHATUMAB,West,27,14676.673108621264
ALPHATUMAB,West,28,14672.34741573948
ALPHATUMAB,West,29,14670.861216073745
ALPHATUMAB,West,30,14670.350595115024
ALPHATUMAB,West,31,14670.175158550546
ALPHATUMAB,West,32,14670.114882943699
ALPHATUMAB,West,33,14670.094173755784
ALPHATUMAB,West,34,14670.087058597821
ALPHATUMAB,West,35,14670.084614007861
ALPHATUMAB,West,36,14670.083774108016
BETATAB,Mid-Atlantic,24,5841.56595390298
BETATAB,Mid-Atlantic,25,5842.629870347698
BETATAB,Mid-Atlantic,26,5843.070999940878
BETATAB,Mid-Atlantic,27,5843.253904640721
BETATAB,Mid-Atlantic,28,5843.329742058437
BETATAB,Mid-Atlantic,29,5843.361186378515
BETATAB,Mid-Atlantic,30,5843.374224075406
BETATAB,Mid-Atlantic,31,5843.379629870151
BETATAB,Mid-Atlantic,32,5843.381871264246
BETATAB,Mid-Atlantic,33,5843.382800609093
BETATAB,Mid-Atlantic,34,5843.383185941528
BETATAB,Mid-Atlantic,35,5843.383345711161
BETATAB,Mid-Atlantic,36,5843.383411956132
BETATAB,Mid-Central,24,7172.098071520221
BETATAB,Mid-Central,25,7193.604313306344
BETATAB,Mid-Central,26,7194.878124631826
BETATAB,Mid-Central,27,7194.953572276703
BETATAB,Mid-Central,28,7194.958041028867
BETATAB,Mid-Central,29,7194.958305712356
BETATAB,Mid-Central,30,7194.9583213895185
BETATAB,Mid-Central,31,7194.958322318074
BETATAB,Mid-Central,32,7194.958322373072
BETATAB,Mid-Central,33,7194.95832237633
BETATAB,Mid-Central,34,7194.958322376523
BETATAB,Mid-Central,35,7194.958322376534
BETATAB,Mid-Central,36,7194.958322376535
BETATAB,Midwest,24,6469.617353863184
BETATAB,Midwest,25,6552.3833072218595
BETATAB,Midwest,26,6575.019824751081
BETATAB,Midwest,27,6581.210920304951
BETATAB,Midwest,28,6582.90418712957
BETATAB,Midwest,29,6583.367296205244
BETATAB,Midwest,30,6583.493956701305
BETATAB,Midwest,31,6583.528598391796
BETATAB,Midwest,32,6583.538072906402
BETATAB,Midwest,33,6583.540664189499
BETATAB,Midwest,34,6583.541372906343
BETATAB,Midwest,35,6583.5415667406505
BETATAB,Midwest,36,6583.541619754403
BETATAB,Northeast,24,6483.776785360316
BETATAB,Northeast,25,6527.425121339302
BETATAB,Northeast,26,6533.655735712101
BETATAB,Northeast,27,6534.545129421892
BETATAB,Northeast,28,6534.672086592354
BETATAB,Northeast,29,6534.6902091886295
BETATAB,Northeast,30,6534.692796112192
BETATAB,Northeast,31,6534.693165384531
BETATAB,Northeast,32,6534.693218096588
BETATAB,Northeast,33,6534.693225621009
BETATAB,Northeast,34,6534.693226695089
BETATAB,Northeast,35,6534.693226848409
BETATAB,Northeast,36,6534.693226870295
BETATAB,Southeast,24,5876.723870472835
BETATAB,Southeast,25,5665.048051946643
BETATAB,Southeast,26,5694.944587947365
BETATAB,Southeast,27,5690.722079816462
BETATAB,Southeast,28,5691.318455761659
BETATAB,Southeast,29,5691.234225191348
BETATAB,Southeast,30,5691.246121695612
BETATAB,Southeast,31,5691.244441464632
BETATAB,Southeast,32,5691.244678776037
BETATAB,Southeast,33,5691.244645258798
BETATAB,Southeast,34,5691.244649992685
BETATAB,Southeast,35,5691.244649324083
BETATAB,Southeast,36,5691.244649418515
BETATAB,Southwest,24,5616.283042465809
BETATAB,Southwest,25,5772.387628518465
BETATAB,Southwest,26,5836.636854184461
BETATAB,Southwest,27,5863.080427067628
BETATAB,Southwest,28,5873.964021999379
BETATAB,Southwest,29,5878.443471095074
BETATAB,Southwest,30,5880.287114149299
BETATAB,Southwest,31,5881.0459172161
BETATAB,Southwest,32,5881.358223924748
BETATAB,Southwest,33,5881.486762519982
BETATAB,Southwest,34,5881.5396661880995
BETATAB,Southwest,35,5881.5614401781995
BETATAB,Southwest,36,5881.57040187522
BETATAB,West,24,7231.658195877897
BETATAB,West,25,7299.378873203254
BETATAB,West,26,7319.435403955618
BETATAB,West,27,7325.37545715219
BETATAB,West,28,7327.13469619576
BETATAB,West,29,7327.655722171454
BETATAB,West,30,7327.810032109231
BETATAB,West,31,7327.855733394786
BETATAB,West,32,7327.869268540555
BETATAB,West,33,7327.873277184267
BETATAB,West,34,7327.874464406384
BETATAB,West,35,7327.87481602066
BETATAB,West,36,7327.87492015669
XETAMAB,Mid-Atlantic,24,5337.7432961667
XETAMAB,Mid-Atlantic,25,5541.205367717367
XETAMAB,Mid-Atlantic,26,5476.1422975598625
XETAMAB,Mid-Atlantic,27,5496.9481561951225
XETAMAB,Mid-Atlantic,28,5490.294861899257
XETAMAB,Mid-Atlantic,29,5492.422451332763
XETAMAB,Mid-Atlantic,30,5491.742091108749
XETAMAB,Mid-Atlantic,31,5491.959656597245
XETAMAB,Mid-Atlantic,32,5491.890083538571
XETAMAB,Mid-Atlantic,33,5491.912331600645
XETAMAB,Mid-Atlantic,34,5491.905217118754
XETAMAB,Mid-Atlantic,35,5491.907492186687
XETAMAB,Mid-Atlantic,36,5491.90676466581
XETAMAB,Mid-Central,24,6917.24900931222
XETAMAB,Mid-Central,25,6917.673728301057
XETAMAB,Mid-Central,26,6917.678571012925
XETAMAB,Mid-Central,27,6917.6786262302785
XETAMAB,Mid-Central,28,6917.678626859875
XETAMAB,Mid-Central,29,6917.678626867054
XETAMAB,Mid-Central,30,6917.678626867136
XETAMAB,Mid-Central,31,6917.678626867137
XETAMAB,Mid-Central,32,6917.678626867137
XETAMAB,Mid-Central,33,6917.678626867137
XETAMAB,Mid-Central,34,6917.678626867137
XETAMAB,Mid-Central,35,6917.678626867137
XETAMAB,Mid-Central,36,6917.678626867137
XETAMAB,Midwest,24,6042.271945181679
XETAMAB,Midwest,25,6284.863071169839
XETAMAB,Midwest,26,6199.166187235524
XETAMAB,Midwest,27,6229.43916563132
XETAMAB,Midwest,28,6218.745040257348
XETAMAB,Midwest,29,6222.522809197655
XETAMAB,Midwest,30,6221.188287891117
XETAMAB,Midwest,31,6221.659716172133
XETAMAB,Midwest,32,6221.493181083444
XETAMAB,Midwest,33,6221.552010680398
XETAMAB,Midwest,34,6221.531228744861
XETAMAB,Midwest,35,6221.538570097973
XETAMAB,Midwest,36,6221.535976717514
XETAMAB,Northeast,24,5409.1961373637805
XETAMAB,Northeast,25,6413.266768543139
XETAMAB,Northeast,26,5838.426072912837
XETAMAB,Northeast,27,6167.52824470388
XETAMAB,Northeast,28,5979.113888690301
XETAMAB,Northeast,29,6086.983032667119
XETAMAB,Northeast,30,6025.226845567167
XETAMAB,Northeast,31,6060.582893687322
XETAMAB,Northeast,32,6040.341194881476
XETAMAB,Northeast,33,6051.92977427118
XETAMAB,Northeast,34,6045.2951941620895
XETAMAB,Northeast,35,6049.09355906461
XETAMAB,Northeast,36,6046.918956347411
XETAMAB,Southeast,24,5470.26844534515
XETAMAB,Southeast,25,5700.063051556792
XETAMAB,Southeast,26,5620.9810302327305
XETAMAB,Southeast,27,5648.196491029662
XETAMAB,Southeast,28,5638.830502477673
XETAMAB,Southeast,29,5642.053734382895
XETAMAB,Southeast,30,5640.944484264002
XETAMAB,Southeast,31,5641.326224040241
XETAMAB,Southeast,32,5641.194851273828
XETAMAB,Southeast,33,5641.240062186678
XETAMAB,Southeast,34,5641.224503203667
XETAMAB,Southeast,35,5641.229857706309
XETAMAB,Southeast,36,5641.228014995991
XETAMAB,Southwest,24,5887.122761101006
XETAMAB,Southwest,25,5931.8872720664895
XETAMAB,Southwest,26,5929.596823357936
XETAMAB,Southwest,27,5929.7140178759455
XETAMAB,Southwest,28,5929.708021428612
XETAMAB,Southwest,29,5929.708328246552
XETAMAB,Southwest,30,5929.708312547715
XETAMAB,Southwest,31,5929.708313350971
XETAMAB,Southwest,32,5929.708313309871
XETAMAB,Southwest,33,5929.708313311975
XETAMAB,Southwest,34,5929.708313311867
XETAMAB,Southwest,35,5929.708313311872
XETAMAB,Southwest,36,5929.708313311872
XETAMAB,West,24,6832.09285054392
XETAMAB,West,25,7145.113477081364
XETAMAB,West,26,7061.718025208206
XETAMAB,West,27,7083.936373788171
XETAMAB,West,28,7078.0169261140745
XETAMAB,West,29,7079.593994753549
XETAMAB,West,30,7079.173829624883
XETAMAB,West,31,7079.285770684979
XETAMAB,West,32,7079.255947170174
XETAMAB,West,33,7079.263892798298
XETAMAB,West,34,7079.261775911449
XETAMAB,West,35,7079.262339895801
XETAMAB,West,36,7079.262189638195
ZELDATAB,Mid-Atlantic,24,13760.132116945402
ZELDATAB,Mid-Atlantic,25,14046.837980759274
ZELDATAB,Mid-Atlantic,26,13953.414577168398
ZELDATAB,Mid-Atlantic,27,13983.856690288798
ZELDATAB,Mid-Atlantic,28,13973.937096101312
ZELDATAB,Mid-Atlantic,29,13977.169406173061
ZELDATAB,Mid-Atlantic,30,13976.11615457804
ZELDATAB,Mid-Atlantic,31,13976.459357704533
ZELDATAB,Mid-Atlantic,32,13976.3475246092
ZELDATAB,Mid-Atlantic,33,13976.3839655395
ZELDATAB,Mid-Atlantic,34,13976.372091224503
ZELDATAB,Mid-Atlantic,35,13976.375960482383
ZELDATAB,Mid-Atlantic,36,13976.374699680682
ZELDATAB,Mid-Central,24,17825.857695160204
ZELDATAB,Mid-Central,25,17657.966422122052
ZELDATAB,Mid-Central,26,17631.378029758413
ZELDATAB,Mid-Central,27,17627.167312931448
ZELDATAB,Mid-Central,28,17626.50047546514
ZELDATAB,Mid-Central,29,17626.394870594344
ZELDATAB,Mid-Central,30,17626.378146295996
ZELDATAB,Mid-Central,31,17626.37549772351
ZELDATAB,Mid-Central,32,17626.37507827774
ZELDATAB,Mid-Central,33,17626.375011851484
ZELDATAB,Mid-Central,34,17626.375001331773
ZELDATAB,Mid-Central,35,17626.374999665804
ZELDATAB,Mid-Central,36,17626.374999401967
ZELDATAB,Midwest,24,15757.610655505021
ZELDATAB,Midwest,25,15863.577390383502
ZELDATAB,Midwest,26,15886.605904576196
ZELDATAB,Midwest,27,15891.610422895375
ZELDATAB,Midwest,28,15892.697996474697
ZELDATAB,Midwest,29,15892.93434615213
ZELDATAB,Midwest,30,15892.985709270068
ZELDATAB,Midwest,31,15892.996871417245
ZELDATAB,Midwest,32,15892.999297156462
ZELDATAB,Midwest,33,15892.999824314065
ZELDATAB,Midwest,34,15892.999938875078
ZELDATAB,Midwest,35,15892.999963771286
ZELDATAB,Midwest,36,15892.999969181688
ZELDATAB,Northeast,24,15555.935185291477
ZELDATAB,Northeast,25,15449.124485660152
ZELDATAB,Northeast,26,15426.75767025405
ZELDATAB,Northeast,27,15422.073921967245
ZELDATAB,Northeast,28,15421.09311635787
ZELDATAB,Northeast,29,15420.887729649517
ZELDATAB,Northeast,30,15420.844720413472
ZELDATAB,Northeast,31,15420.835714015735
ZELDATAB,Northeast,32,15420.833828020828
ZELDATAB,Northeast,33,15420.83343308193
ZELDATAB,Northeast,34,15420.833350379304
ZELDATAB,Northeast,35,15420.833333060866
ZELDATAB,Northeast,36,15420.83332943428
ZELDATAB,Southeast,24,13973.364891542062
ZELDATAB,Southeast,25,13952.287629532375
ZELDATAB,Southeast,26,13951.923081546893
ZELDATAB,Southeast,27,13951.91677639997
ZELDATAB,Southeast,28,13951.916667347446
ZELDATAB,Southeast,29,13951.916665461296
ZELDATAB,Southeast,30,13951.916665428675
ZELDATAB,Southeast,31,13951.916665428109
ZELDATAB,Southeast,32,13951.9166654281
ZELDATAB,Southeast,33,13951.9166654281
ZELDATAB,Southeast,34,13951.9166654281
ZELDATAB,Southeast,35,13951.9166654281
ZELDATAB,Southeast,36,13951.9166654281
ZELDATAB,Southwest,24,14424.750384998792
ZELDATAB,Southwest,25,14605.332101702546
ZELDATAB,Southwest,26,14549.896865408158
ZELDATAB,Southwest,27,14566.914454337475
ZELDATAB,Southwest,28,14561.690370301298
ZELDATAB,Southwest,29,14563.294067166371
ZELDATAB,Southwest,30,14562.801761985744
ZELDATAB,Southwest,31,14562.952890541364
ZELDATAB,Southwest,32,14562.906496879012
ZELDATAB,Southwest,33,14562.92073887251
ZELDATAB,Southwest,34,14562.916366844769
ZELDATAB,Southwest,35,14562.917708976162
ZELDATAB,Southwest,36,14562.917296966727
ZELDATAB,West,24,18115.349839729468
ZELDATAB,West,25,17854.292457382402
ZELDATAB,West,26,17781.5321464695
ZELDATAB,West,27,17761.252839305133
ZELDATAB,West,28,17755.600715311888
ZELDATAB,West,29,17754.02539001226
ZELDATAB,West,30,17753.58632501605
ZELDATAB,West,31,17753.463951515834
ZELDATAB,West,32,17753.429844325135
ZELDATAB,West,33,17753.420338178337
ZELDATAB,West,34,17753.41768868346
ZELDATAB,West,35,17753.416950232513
ZELDATAB,West,36,17753.416744416
